reg_dt,spce_id,tag_value
2021-06-03 08:05:44,TG_0001094,24.56
2021-06-03 08:05:44,TG_0001095,24.56
2021-06-03 08:08:54,TG_0001099,25.49
2021-06-03 08:13:32,TG_0001100,26.53
2021-06-03 08:13:32,TG_0001101,26.53
2021-06-03 08:20:46,TG_0001094,24.38
2021-06-03 08:20:46,TG_0001095,24.38
2021-06-03 08:23:55,TG_0001099,25.39
2021-06-03 08:28:34,TG_0001100,26.58
2021-06-03 08:28:34,TG_0001101,26.58
2021-06-03 08:33:39,TG_0001096,24.96
2021-06-03 08:33:39,TG_0001097,24.96
2021-06-03 08:35:45,TG_0001094,24.19
2021-06-03 08:35:45,TG_0001095,24.19
2021-06-03 08:38:55,TG_0001099,25.3
2021-06-03 08:43:34,TG_0001100,26.35
2021-06-03 08:43:34,TG_0001101,26.35
2021-06-03 08:48:40,TG_0001096,24.87
2021-06-03 08:48:40,TG_0001097,24.87
2021-06-03 08:50:45,TG_0001094,24.06
2021-06-03 08:50:45,TG_0001095,24.06
2021-06-03 08:53:56,TG_0001099,25.23
2021-06-03 08:58:34,TG_0001100,26.31
2021-06-03 08:58:34,TG_0001101,26.31
2021-06-03 09:03:39,TG_0001096,24.82
2021-06-03 09:03:39,TG_0001097,24.82
2021-06-03 09:05:45,TG_0001094,23.98
2021-06-03 09:05:45,TG_0001095,23.98
2021-06-03 09:09:00,TG_0001099,25.18
2021-06-03 09:13:34,TG_0001100,26.28
2021-06-03 09:13:34,TG_0001101,26.28
2021-06-03 09:18:38,TG_0001096,24.79
2021-06-03 09:18:38,TG_0001097,24.79
2021-06-03 09:20:45,TG_0001094,23.93
2021-06-03 09:20:45,TG_0001095,23.93
2021-06-03 09:23:57,TG_0001099,25.13
2021-06-03 09:33:40,TG_0001096,24.77
2021-06-03 09:33:40,TG_0001097,24.77
2021-06-03 09:35:45,TG_0001094,23.89
2021-06-03 09:35:45,TG_0001095,23.89
2021-06-03 09:38:59,TG_0001099,25.04
2021-06-03 09:48:45,TG_0001096,24.73
2021-06-03 09:48:45,TG_0001097,24.73
2021-06-03 09:50:44,TG_0001094,23.83
2021-06-03 09:50:44,TG_0001095,23.83
2021-06-03 09:53:59,TG_0001099,24.97
2021-06-03 09:58:36,TG_0001100,26.27
2021-06-03 09:58:36,TG_0001101,26.27
2021-06-03 10:03:40,TG_0001096,24.7
2021-06-03 10:03:40,TG_0001097,24.7
2021-06-03 10:09:03,TG_0001099,24.91
2021-06-03 10:13:37,TG_0001100,26.26
2021-06-03 10:13:37,TG_0001101,26.26
2021-06-03 10:18:40,TG_0001096,24.66
2021-06-03 10:18:40,TG_0001097,24.66
2021-06-03 10:20:44,TG_0001094,23.86
2021-06-03 10:20:44,TG_0001095,23.86
2021-06-03 10:23:59,TG_0001099,24.88
2021-06-03 10:35:44,TG_0001094,23.82
2021-06-03 10:35:44,TG_0001095,23.82
2021-06-03 10:39:03,TG_0001099,24.84
2021-06-03 10:43:36,TG_0001100,26.24
2021-06-03 10:43:36,TG_0001101,26.24
2021-06-03 10:48:40,TG_0001096,24.64
2021-06-03 10:48:40,TG_0001097,24.64
2021-06-03 10:50:44,TG_0001094,23.81
2021-06-03 10:50:44,TG_0001095,23.81
2021-06-03 10:54:00,TG_0001099,24.82
2021-06-03 10:58:37,TG_0001100,26.21
2021-06-03 10:58:37,TG_0001101,26.21
2021-06-03 11:03:40,TG_0001096,24.66
2021-06-03 11:03:40,TG_0001097,24.66
2021-06-03 11:09:00,TG_0001099,24.8
2021-06-03 11:13:38,TG_0001100,26.19
2021-06-03 11:13:38,TG_0001101,26.19
2021-06-03 11:18:41,TG_0001096,24.67
2021-06-03 11:18:41,TG_0001097,24.67
2021-06-03 11:20:45,TG_0001094,23.8
2021-06-03 11:20:45,TG_0001095,23.8
2021-06-03 11:24:01,TG_0001099,24.78
2021-06-03 11:28:37,TG_0001100,26.17
2021-06-03 11:28:37,TG_0001101,26.17
2021-06-03 11:33:41,TG_0001096,24.7
2021-06-03 11:33:41,TG_0001097,24.7
2021-06-03 11:35:46,TG_0001094,23.78
2021-06-03 11:35:46,TG_0001095,23.78
2021-06-03 11:39:02,TG_0001099,24.77
2021-06-03 11:43:38,TG_0001100,26.15
2021-06-03 11:43:38,TG_0001101,26.15
2021-06-03 11:48:41,TG_0001096,24.71
2021-06-03 11:48:41,TG_0001097,24.71
2021-06-03 11:50:44,TG_0001094,23.71
2021-06-03 11:50:44,TG_0001095,23.71
2021-06-03 11:54:02,TG_0001099,24.75
2021-06-03 11:58:37,TG_0001100,26.1
2021-06-03 11:58:37,TG_0001101,26.1
2021-06-03 12:03:41,TG_0001096,24.7
2021-06-03 12:03:41,TG_0001097,24.7
2021-06-03 12:05:44,TG_0001094,23.65
2021-06-03 12:05:44,TG_0001095,23.65
2021-06-03 12:13:46,TG_0001100,26.04
2021-06-03 12:13:46,TG_0001101,26.04
2021-06-03 12:18:41,TG_0001096,24.65
2021-06-03 12:18:41,TG_0001097,24.65
2021-06-03 12:20:44,TG_0001094,23.59
2021-06-03 12:20:44,TG_0001095,23.59
2021-06-03 12:28:38,TG_0001100,25.98
2021-06-03 12:28:38,TG_0001101,25.98
2021-06-03 12:33:41,TG_0001096,24.61
2021-06-03 12:33:41,TG_0001097,24.61
2021-06-03 12:35:44,TG_0001094,23.54
2021-06-03 12:35:44,TG_0001095,23.54
2021-06-03 12:39:02,TG_0001099,24.73
2021-06-03 12:43:40,TG_0001100,25.91
2021-06-03 12:43:40,TG_0001101,25.91
2021-06-03 12:48:41,TG_0001096,24.56
2021-06-03 12:48:41,TG_0001097,24.56
2021-06-03 12:50:44,TG_0001094,23.5
2021-06-03 12:50:44,TG_0001095,23.5
