floor_id,n_customer,vote_hot_rate,vote_cold_rate,voc_all_rate,VOC_toilet_rate,VOC_lamp_rate,VOC_electric_rate,VOC_door_rate,VOC_dirty_rate,VOC_noise_rate
TG_0000789,43,125.6%,14.0%,93.0%,,,,2.3%,,2.3%
TG_0000790,27,14.8%,0.0%,18.5%,,,,,,
TG_0000791,55,194.5%,25.5%,136.4%,,,,,,3.6%
TG_0000793,58,56.9%,3.4%,53.4%,,1.7%,,,,1.7%
TG_0000794,20,20.0%,0.0%,40.0%,,,,5.0%,5.0%,
TG_0000795,57,40.4%,3.5%,42.1%,,3.5%,,1.8%,,3.5%
TG_0000797,56,8.9%,0.0%,10.7%,,,3.6%,,,
TG_0000798,64,68.8%,0.0%,45.3%,,,3.1%,3.1%,,
TG_0000799,74,83.8%,0.0%,45.9%,,,,,1.4%,
TG_0000800,44,54.5%,6.8%,54.5%,,,,,,
TG_0000801,32,28.1%,0.0%,28.1%,,,,3.1%,,
TG_0000802,52,109.6%,9.6%,59.6%,,3.8%,1.9%,1.9%,3.8%,
TG_0000803,20,20.0%,10.0%,25.0%,,,,,,
TG_0000804,13,,,15.4%,,,,,,
TG_0000805,43,39.5%,0.0%,44.2%,,,,,,2.3%
TG_0000807,39,7.7%,5.1%,12.8%,,,,,,
TG_0000808,20,60.0%,10.0%,60.0%,,,,,,5.0%
TG_0000815,1,,,,,,,,,
TG_0000819,2,,,,,,,,,
TG_0000820,9,,,,,,,,,
TG_0000821,29,34.5%,3.4%,37.9%,,,3.4%,3.4%,3.4%,
TG_0000822,51,123.5%,21.6%,88.2%,,3.9%,2.0%,2.0%,3.9%,
TG_0000823,11,63.6%,18.2%,163.6%,,,27.3%,9.1%,36.4%,9.1%
TG_0000826,72,9.7%,19.4%,18.1%,,,,,,1.4%
TG_0000829,46,91.3%,19.6%,63.0%,,,,,,4.3%
TG_0000830,1,1100.0%,0.0%,1200.0%,,,,,,
TG_0000835,3,,,,,,,,,
TG_0000836,6,,,16.7%,,,,,,
TG_0000837,2,,,,,,,,,
TG_0000838,8,,,,,,,,,
TG_0000839,24,,,,,,,,,
TG_0000840,79,,,3.8%,,,,,3.8%,
TG_0000841,5,20.0%,0.0%,40.0%,,,,,20.0%,
TG_0000847,38,13.2%,5.3%,31.6%,,,5.3%,5.3%,5.3%,
TG_0000848,53,15.1%,22.6%,28.3%,,,1.9%,,,1.9%
TG_0000849,76,53.9%,13.2%,35.5%,,1.3%,1.3%,,1.3%,
TG_0000850,79,54.4%,22.8%,48.1%,,,,,2.5%,
TG_0000851,38,26.3%,13.2%,26.3%,,2.6%,,,2.6%,
TG_0000852,32,3.1%,15.6%,12.5%,,,,,,
TG_0000853,12,33.3%,50.0%,66.7%,,,,,,
TG_0000857,8,,,,,,,,,
TG_0000858,1,,,,,,,,,
TG_0000859,1,,,,,,,,,
TG_0000860,3,,,,,,,,,
TG_0000862,7,,,,,,,,,
TG_0000865,29,,,3.4%,,,,,,
TG_0000866,26,0.0%,3.8%,11.5%,,,,3.8%,,3.8%
TG_0000867,35,11.4%,31.4%,40.0%,,,,,2.9%,
TG_0000868,55,3.6%,12.7%,16.4%,,1.8%,,,3.6%,1.8%
TG_0000869,55,12.7%,9.1%,14.5%,,,,,,1.8%
TG_0000870,12,91.7%,0.0%,100.0%,,,,,8.3%,
TG_0000871,70,4.3%,2.9%,12.9%,,,,1.4%,2.9%,
TG_0000872,83,32.5%,21.7%,19.3%,,,,1.2%,,
TG_0000873,69,7.2%,0.0%,7.2%,,,,,,
TG_0000874,55,43.6%,14.5%,32.7%,,,1.8%,1.8%,,
TG_0000878,9,22.2%,0.0%,33.3%,,,,,,
TG_0000879,2,,,,,,,,,
TG_0000882,42,50.0%,4.8%,28.6%,,,,,4.8%,
TG_0000891,3,,,,,,,,,
TG_0000892,43,,,11.6%,,9.3%,,,,
TG_0000894,18,,,5.6%,,,,,,
TG_0000895,11,9.1%,0.0%,9.1%,,,,,,
TG_0000896,6,,,,,,,,,
TG_0000897,35,5.7%,8.6%,8.6%,,2.9%,,,,
TG_0000898,70,,,5.7%,,1.4%,,,4.3%,
TG_0000899,53,,,9.4%,,3.8%,,1.9%,,
TG_0000900,74,1.4%,2.7%,13.5%,,2.7%,1.4%,1.4%,,
TG_0000916,35,,,,,,,,,
TG_0000917,25,12.0%,0.0%,12.0%,,4.0%,,,,
TG_0000918,27,,,,,,,,,
TG_0000921,1,,,,,,,,,
TG_0000925,1,,,,,,,,,
TG_0000934,4,,,,,,,,,
TG_0000935,13,,,,,,,,,
TG_0000937,20,,,,,,,,,
TG_0000948,10,10.0%,20.0%,20.0%,,,10.0%,,,
TG_0000950,22,,,13.6%,,,,4.5%,,4.5%
